step,reward,seed
0,0.0,1
100000,996.0,1
200000,1000.0,1
300000,998.0,1
400000,1000.0,1
500000,1000.0,1
600000,1000.0,1
700000,1000.0,1
800000,1000.0,1
900000,1000.0,1
1000000,1000.0,1
0,0.0,2
100000,1000.0,2
200000,1000.0,2
300000,1000.0,2
400000,1000.0,2
500000,1000.0,2
600000,1000.0,2
700000,999.0,2
800000,1000.0,2
900000,1000.0,2
1000000,999.0,2
0,0.0,3
100000,1000.0,3
200000,1000.0,3
300000,1000.0,3
400000,999.0,3
500000,1000.0,3
600000,1000.0,3
700000,1000.0,3
800000,1000.0,3
900000,1000.0,3
1000000,1000.0,3
