step,reward,seed
0,0.0,1
100000,492.9,1
200000,652.0,1
300000,536.3,1
400000,763.2,1
500000,892.3,1
600000,855.8,1
700000,856.9,1
800000,837.7,1
900000,909.0,1
1000000,875.6,1
1100000,878.0,1
1200000,833.1,1
1300000,735.3,1
1400000,871.7,1
1500000,876.8,1
1600000,742.9,1
1700000,914.4,1
1800000,857.2,1
1900000,999.4,1
2000000,778.9,1
2100000,883.3,1
2200000,916.1,1
2300000,846.9,1
2400000,910.8,1
2500000,722.1,1
2600000,916.2,1
2700000,856.4,1
2800000,880.5,1
2900000,781.8,1
3000000,822.7,1
3100000,856.9,1
3200000,882.6,1
3300000,884.4,1
3400000,892.8,1
3500000,846.1,1
3600000,875.3,1
3700000,879.0,1
3800000,694.2,1
3900000,854.5,1
4000000,681.5,1
0,0.0,2
100000,428.4,2
200000,875.3,2
300000,717.8,2
400000,786.8,2
500000,727.4,2
600000,749.0,2
700000,741.4,2
800000,718.9,2
900000,889.1,2
1000000,895.2,2
1100000,891.3,2
1200000,836.1,2
1300000,758.4,2
1400000,895.0,2
1500000,748.6,2
1600000,790.6,2
1700000,749.9,2
1800000,731.3,2
1900000,740.0,2
2000000,870.9,2
2100000,787.2,2
2200000,824.8,2
2300000,832.6,2
2400000,855.5,2
2500000,713.8,2
2600000,895.6,2
2700000,742.3,2
2800000,829.6,2
2900000,897.2,2
3000000,896.9,2
3100000,825.9,2
3200000,896.6,2
3300000,874.7,2
3400000,841.0,2
3500000,876.8,2
3600000,876.9,2
3700000,872.4,2
3800000,890.0,2
3900000,840.4,2
4000000,833.1,2
0,0.0,3
100000,282.7,3
200000,536.0,3
300000,746.3,3
400000,896.1,3
500000,874.8,3
600000,836.3,3
700000,880.4,3
800000,905.9,3
900000,862.8,3
1000000,875.9,3
1100000,1000.0,3
1200000,867.3,3
1300000,823.7,3
1400000,834.7,3
1500000,749.7,3
1600000,774.8,3
1700000,877.8,3
1800000,878.0,3
1900000,890.6,3
2000000,888.2,3
2100000,878.4,3
2200000,850.2,3
2300000,887.2,3
2400000,783.9,3
2500000,875.6,3
2600000,768.6,3
2700000,846.1,3
2800000,898.9,3
2900000,834.6,3
3000000,888.2,3
3100000,801.1,3
3200000,747.9,3
3300000,897.6,3
3400000,879.3,3
3500000,855.9,3
3600000,770.3,3
3700000,747.2,3
3800000,870.1,3
3900000,876.6,3
4000000,779.9,3
