step,reward,seed
0,0.0,1
100000,878.1,1
200000,880.3,1
300000,881.7,1
400000,881.4,1
500000,880.5,1
600000,881.3,1
700000,881.5,1
800000,881.8,1
900000,882.0,1
1000000,880.6,1
1100000,881.6,1
1200000,879.5,1
1300000,879.1,1
1400000,880.7,1
1500000,880.5,1
1600000,879.5,1
1700000,880.3,1
1800000,881.5,1
1900000,881.0,1
2000000,881.7,1
2100000,878.4,1
2200000,881.6,1
2300000,877.6,1
2400000,875.6,1
2500000,882.2,1
2600000,880.5,1
2700000,881.4,1
2800000,881.9,1
2900000,881.1,1
3000000,881.7,1
3100000,880.7,1
3200000,880.3,1
3300000,881.8,1
3400000,880.7,1
3500000,880.9,1
3600000,879.0,1
3700000,879.7,1
3800000,878.6,1
3900000,881.1,1
4000000,880.9,1
0,0.0,2
100000,882.9,2
200000,882.9,2
300000,882.9,2
400000,882.9,2
500000,882.9,2
600000,882.9,2
700000,882.9,2
800000,882.9,2
900000,882.9,2
1000000,882.9,2
1100000,882.9,2
1200000,882.9,2
1300000,884.7,2
1400000,884.7,2
1500000,884.7,2
1600000,884.7,2
1700000,884.7,2
1800000,884.7,2
1900000,884.7,2
2000000,884.7,2
2100000,884.7,2
2200000,884.7,2
2300000,880.7,2
2400000,880.7,2
2500000,880.7,2
2600000,880.7,2
2700000,880.5,2
2800000,881.4,2
2900000,881.4,2
3000000,881.4,2
3100000,881.4,2
3200000,881.4,2
3300000,881.4,2
3400000,881.4,2
3500000,881.4,2
3600000,881.4,2
3700000,881.4,2
3800000,881.4,2
3900000,881.4,2
4000000,881.4,2
0,0.0,3
100000,882.0,3
200000,881.5,3
300000,880.8,3
400000,881.7,3
500000,881.5,3
600000,877.4,3
700000,881.6,3
800000,881.8,3
900000,880.4,3
1000000,880.1,3
1100000,881.3,3
1200000,880.6,3
1300000,880.9,3
1400000,881.6,3
1500000,881.7,3
1600000,880.8,3
1700000,880.6,3
1800000,880.5,3
1900000,881.5,3
2000000,881.6,3
2100000,882.2,3
2200000,880.3,3
2300000,878.8,3
2400000,881.4,3
2500000,872.4,3
2600000,880.9,3
2700000,880.5,3
2800000,877.8,3
2900000,881.4,3
3000000,881.2,3
3100000,882.0,3
3200000,882.0,3
3300000,880.9,3
3400000,880.4,3
3500000,881.8,3
3600000,881.3,3
3700000,880.8,3
3800000,881.1,3
3900000,880.0,3
4000000,881.2,3
