step,reward,seed
0,0.0,1
100000,597.8,1
200000,600.8,1
300000,603.2,1
400000,603.9,1
500000,607.6,1
600000,612.4,1
700000,633.9,1
800000,685.9,1
900000,756.5,1
1000000,776.8,1
1100000,799.3,1
1200000,809.5,1
1300000,818.3,1
1400000,822.8,1
1500000,819.6,1
1600000,820.4,1
1700000,821.8,1
1800000,820.3,1
1900000,823.8,1
2000000,822.8,1
2100000,821.4,1
2200000,821.9,1
2300000,820.3,1
2400000,823.1,1
2500000,823.4,1
2600000,827.5,1
2700000,822.9,1
2800000,828.7,1
2900000,826.4,1
3000000,822.4,1
3100000,830.2,1
3200000,827.9,1
3300000,831.4,1
3400000,825.2,1
3500000,825.8,1
3600000,825.0,1
3700000,830.5,1
3800000,828.8,1
3900000,828.2,1
4000000,831.4,1
0,0.0,2
100000,747.6,2
200000,747.6,2
300000,747.6,2
400000,747.6,2
500000,747.6,2
600000,768.5,2
700000,800.6,2
800000,824.6,2
900000,824.6,2
1000000,827.0,2
1100000,827.0,2
1200000,828.4,2
1300000,828.4,2
1400000,828.4,2
1500000,828.4,2
1600000,828.4,2
1700000,828.4,2
1800000,828.4,2
1900000,828.4,2
2000000,828.4,2
2100000,828.4,2
2200000,826.7,2
2300000,827.5,2
2400000,827.5,2
2500000,827.5,2
2600000,827.5,2
2700000,827.5,2
2800000,827.5,2
2900000,827.5,2
3000000,827.6,2
3100000,827.6,2
3200000,827.6,2
3300000,827.6,2
3400000,827.6,2
3500000,827.6,2
3600000,827.6,2
3700000,827.6,2
3800000,827.6,2
3900000,827.6,2
4000000,827.6,2
0,0.0,3
100000,584.0,3
200000,597.6,3
300000,599.7,3
400000,600.1,3
500000,599.6,3
600000,602.0,3
700000,604.1,3
800000,617.8,3
900000,657.8,3
1000000,704.9,3
1100000,744.7,3
1200000,754.2,3
1300000,756.7,3
1400000,771.2,3
1500000,802.1,3
1600000,809.2,3
1700000,809.3,3
1800000,807.2,3
1900000,809.9,3
2000000,812.4,3
2100000,817.0,3
2200000,812.7,3
2300000,815.5,3
2400000,815.1,3
2500000,814.5,3
2600000,802.4,3
2700000,812.6,3
2800000,812.5,3
2900000,815.9,3
3000000,811.1,3
3100000,815.0,3
3200000,817.1,3
3300000,815.5,3
3400000,823.0,3
3500000,822.1,3
3600000,824.1,3
3700000,823.7,3
3800000,823.7,3
3900000,813.6,3
4000000,823.9,3
