step,reward,seed
0,0.0,1
100000,538.9,1
200000,769.9,1
300000,809.4,1
400000,832.8,1
500000,836.8,1
600000,837.7,1
700000,839.7,1
800000,836.1,1
900000,838.1,1
1000000,840.6,1
1100000,830.9,1
1200000,756.6,1
1300000,791.9,1
1400000,816.1,1
1500000,836.6,1
1600000,863.0,1
1700000,851.2,1
1800000,853.9,1
1900000,851.5,1
2000000,856.8,1
2100000,856.9,1
2200000,859.1,1
2300000,860.9,1
2400000,869.1,1
2500000,871.8,1
2600000,871.2,1
2700000,866.6,1
2800000,865.7,1
2900000,865.9,1
3000000,863.5,1
3100000,861.5,1
3200000,818.8,1
3300000,852.2,1
3400000,804.9,1
3500000,849.8,1
3600000,852.5,1
3700000,858.0,1
3800000,842.8,1
3900000,856.6,1
4000000,854.1,1
0,0.0,2
100000,563.2,2
200000,639.8,2
300000,746.2,2
400000,790.3,2
500000,822.7,2
600000,823.4,2
700000,822.6,2
800000,819.4,2
900000,819.3,2
1000000,824.1,2
1100000,822.6,2
1200000,798.9,2
1300000,786.8,2
1400000,745.3,2
1500000,818.6,2
1600000,822.8,2
1700000,818.4,2
1800000,814.0,2
1900000,815.2,2
2000000,820.5,2
2100000,821.8,2
2200000,818.6,2
2300000,829.1,2
2400000,823.3,2
2500000,831.3,2
2600000,846.7,2
2700000,844.4,2
2800000,843.7,2
2900000,841.4,2
3000000,843.0,2
3100000,835.9,2
3200000,837.5,2
3300000,832.5,2
3400000,838.1,2
3500000,835.3,2
3600000,834.1,2
3700000,830.3,2
3800000,828.7,2
3900000,834.6,2
4000000,836.1,2
0,0.0,3
100000,574.9,3
200000,596.6,3
300000,633.8,3
400000,855.3,3
500000,875.1,3
600000,887.0,3
700000,891.0,3
800000,892.6,3
900000,888.9,3
1000000,894.7,3
1100000,890.0,3
1200000,890.3,3
1300000,882.6,3
1400000,863.1,3
1500000,879.5,3
1600000,879.6,3
1700000,876.6,3
1800000,876.8,3
1900000,871.8,3
2000000,884.0,3
2100000,880.7,3
2200000,883.2,3
2300000,880.6,3
2400000,882.2,3
2500000,802.2,3
2600000,883.3,3
2700000,885.9,3
2800000,884.3,3
2900000,880.3,3
3000000,873.6,3
3100000,866.0,3
3200000,883.2,3
3300000,886.4,3
3400000,881.6,3
3500000,882.2,3
3600000,883.6,3
3700000,877.6,3
3800000,774.0,3
3900000,869.8,3
4000000,867.3,3
