step,reward,seed
0,0.0,1
100000,643.3,1
200000,693.4,1
300000,713.1,1
400000,713.3,1
500000,707.8,1
600000,683.3,1
700000,599.2,1
800000,629.8,1
900000,725.8,1
1000000,752.0,1
1100000,738.1,1
1200000,751.9,1
1300000,700.8,1
1400000,765.6,1
1500000,770.5,1
1600000,765.6,1
1700000,763.5,1
1800000,777.3,1
1900000,778.0,1
2000000,799.4,1
2100000,810.9,1
2200000,829.3,1
2300000,829.7,1
2400000,825.1,1
2500000,830.5,1
2600000,839.4,1
2700000,833.8,1
2800000,835.1,1
2900000,832.6,1
3000000,835.2,1
3100000,837.7,1
3200000,835.5,1
3300000,830.8,1
3400000,822.6,1
3500000,827.2,1
3600000,829.3,1
3700000,828.1,1
3800000,825.5,1
3900000,825.8,1
4000000,826.8,1
0,0.0,2
100000,576.3,2
200000,596.9,2
300000,609.0,2
400000,601.6,2
500000,604.2,2
600000,610.0,2
700000,610.0,2
800000,607.3,2
900000,609.4,2
1000000,619.5,2
1100000,622.5,2
1200000,628.9,2
1300000,625.6,2
1400000,627.5,2
1500000,632.1,2
1600000,622.8,2
1700000,626.6,2
1800000,631.6,2
1900000,626.3,2
2000000,639.4,2
2100000,643.0,2
2200000,639.6,2
2300000,665.3,2
2400000,673.6,2
2500000,657.2,2
2600000,665.2,2
2700000,665.0,2
2800000,674.6,2
2900000,663.3,2
3000000,662.1,2
3100000,665.8,2
3200000,665.6,2
3300000,672.9,2
3400000,678.7,2
3500000,673.3,2
3600000,671.0,2
3700000,678.0,2
3800000,663.5,2
3900000,669.6,2
4000000,666.0,2
0,0.0,3
100000,630.1,3
200000,676.1,3
300000,687.5,3
400000,695.1,3
500000,707.7,3
600000,704.4,3
700000,702.5,3
800000,690.0,3
900000,692.5,3
1000000,698.0,3
1100000,694.7,3
1200000,693.0,3
1300000,697.7,3
1400000,697.7,3
1500000,702.2,3
1600000,699.9,3
1700000,698.5,3
1800000,697.1,3
1900000,700.8,3
2000000,698.0,3
2100000,703.7,3
2200000,703.1,3
2300000,710.0,3
2400000,712.9,3
2500000,708.5,3
2600000,713.7,3
2700000,720.6,3
2800000,716.1,3
2900000,712.5,3
3000000,721.5,3
3100000,727.5,3
3200000,711.9,3
3300000,720.5,3
3400000,718.2,3
3500000,711.0,3
3600000,712.2,3
3700000,721.4,3
3800000,722.2,3
3900000,719.6,3
4000000,714.0,3
