step,reward,seed
0,0.0,1
100000,432.7,1
200000,556.4,1
300000,574.3,1
400000,602.9,1
500000,606.0,1
600000,615.3,1
700000,611.0,1
800000,606.8,1
900000,610.8,1
1000000,618.2,1
1100000,617.5,1
1200000,617.0,1
1300000,620.7,1
1400000,627.6,1
1500000,616.4,1
1600000,632.6,1
1700000,631.0,1
1800000,643.2,1
1900000,646.8,1
2000000,642.3,1
2100000,643.6,1
2200000,640.0,1
2300000,633.6,1
2400000,644.5,1
2500000,647.0,1
2600000,640.0,1
2700000,641.2,1
2800000,644.7,1
2900000,637.1,1
3000000,647.9,1
3100000,646.1,1
3200000,649.3,1
3300000,642.7,1
3400000,653.5,1
3500000,634.2,1
3600000,638.4,1
3700000,635.8,1
3800000,640.9,1
3900000,652.8,1
4000000,629.9,1
0,0.0,2
100000,442.5,2
200000,488.3,2
300000,579.8,2
400000,603.6,2
500000,622.6,2
600000,631.9,2
700000,637.6,2
800000,648.2,2
900000,656.4,2
1000000,668.7,2
1100000,680.0,2
1200000,675.8,2
1300000,556.0,2
1400000,661.5,2
1500000,680.3,2
1600000,681.8,2
1700000,667.3,2
1800000,670.9,2
1900000,685.9,2
2000000,694.1,2
2100000,693.8,2
2200000,702.7,2
2300000,712.0,2
2400000,697.8,2
2500000,702.8,2
2600000,721.9,2
2700000,698.7,2
2800000,708.4,2
2900000,705.7,2
3000000,710.6,2
3100000,717.3,2
3200000,718.7,2
3300000,734.9,2
3400000,720.2,2
3500000,712.9,2
3600000,703.5,2
3700000,714.5,2
3800000,694.2,2
3900000,716.8,2
4000000,716.6,2
0,0.0,3
100000,489.1,3
200000,560.9,3
300000,577.7,3
400000,566.8,3
500000,592.6,3
600000,578.1,3
700000,581.5,3
800000,585.4,3
900000,598.7,3
1000000,604.6,3
1100000,603.3,3
1200000,635.1,3
1300000,630.8,3
1400000,626.4,3
1500000,625.2,3
1600000,642.6,3
1700000,622.7,3
1800000,626.4,3
1900000,626.4,3
2000000,630.1,3
2100000,636.5,3
2200000,637.2,3
2300000,642.6,3
2400000,638.2,3
2500000,634.2,3
2600000,637.1,3
2700000,635.3,3
2800000,634.1,3
2900000,646.1,3
3000000,645.4,3
3100000,649.5,3
3200000,645.9,3
3300000,649.9,3
3400000,653.4,3
3500000,661.7,3
3600000,650.8,3
3700000,658.2,3
3800000,657.9,3
3900000,659.1,3
4000000,659.1,3
