step,reward,seed
0,0.0,1
100000,715.7,1
200000,856.7,1
300000,906.3,1
400000,907.8,1
500000,912.6,1
600000,911.4,1
700000,910.6,1
800000,913.1,1
900000,914.2,1
1000000,914.2,1
1100000,914.9,1
1200000,915.8,1
1300000,916.9,1
1400000,917.7,1
1500000,916.9,1
1600000,918.0,1
1700000,917.7,1
1800000,917.2,1
1900000,917.5,1
2000000,918.0,1
2100000,919.7,1
2200000,918.7,1
2300000,918.3,1
2400000,917.9,1
2500000,917.4,1
2600000,917.9,1
2700000,918.1,1
2800000,919.6,1
2900000,919.0,1
3000000,918.5,1
3100000,920.5,1
3200000,918.6,1
3300000,919.0,1
3400000,919.2,1
3500000,918.7,1
3600000,918.7,1
3700000,919.5,1
3800000,919.3,1
3900000,917.4,1
4000000,920.4,1
0,0.0,2
100000,778.6,2
200000,907.2,2
300000,913.5,2
400000,915.4,2
500000,915.1,2
600000,917.2,2
700000,916.9,2
800000,918.2,2
900000,917.9,2
1000000,919.9,2
1100000,917.9,2
1200000,916.9,2
1300000,917.3,2
1400000,920.1,2
1500000,920.8,2
1600000,918.5,2
1700000,920.1,2
1800000,919.7,2
1900000,919.5,2
2000000,920.6,2
2100000,920.1,2
2200000,920.0,2
2300000,919.2,2
2400000,919.9,2
2500000,920.5,2
2600000,920.6,2
2700000,920.9,2
2800000,920.0,2
2900000,920.5,2
3000000,920.6,2
3100000,920.9,2
3200000,922.7,2
3300000,921.9,2
3400000,921.2,2
3500000,920.5,2
3600000,921.2,2
3700000,922.0,2
3800000,920.7,2
3900000,921.2,2
4000000,920.2,2
0,0.0,3
100000,788.7,3
200000,869.0,3
300000,889.7,3
400000,903.1,3
500000,910.4,3
600000,913.5,3
700000,914.1,3
800000,916.6,3
900000,915.6,3
1000000,917.6,3
1100000,918.4,3
1200000,920.2,3
1300000,920.4,3
1400000,920.6,3
1500000,919.9,3
1600000,921.6,3
1700000,922.0,3
1800000,922.9,3
1900000,921.9,3
2000000,921.3,3
2100000,923.3,3
2200000,923.7,3
2300000,921.2,3
2400000,924.0,3
2500000,922.6,3
2600000,923.0,3
2700000,923.9,3
2800000,921.7,3
2900000,922.9,3
3000000,923.3,3
3100000,923.4,3
3200000,923.2,3
3300000,923.2,3
3400000,922.4,3
3500000,922.9,3
3600000,922.4,3
3700000,923.0,3
3800000,922.2,3
3900000,923.0,3
4000000,923.5,3
