step,reward,seed
0,0.0,1
100000,837.3,1
200000,836.9,1
300000,836.4,1
400000,840.5,1
500000,837.8,1
600000,838.8,1
700000,838.2,1
800000,838.2,1
900000,840.1,1
1000000,838.9,1
1100000,838.7,1
1200000,839.9,1
1300000,843.6,1
1400000,841.5,1
1500000,842.1,1
1600000,842.8,1
1700000,841.7,1
1800000,841.5,1
1900000,842.2,1
2000000,842.0,1
2100000,841.9,1
2200000,842.4,1
2300000,842.0,1
2400000,842.3,1
2500000,841.5,1
2600000,841.2,1
2700000,842.1,1
2800000,841.1,1
2900000,840.9,1
3000000,840.5,1
3100000,839.4,1
3200000,840.2,1
3300000,839.8,1
3400000,840.7,1
3500000,840.4,1
3600000,841.1,1
3700000,838.0,1
3800000,840.9,1
3900000,839.2,1
4000000,839.9,1
0,0.0,2
100000,836.0,2
200000,837.5,2
300000,836.7,2
400000,837.1,2
500000,841.0,2
600000,839.2,2
700000,838.2,2
800000,838.7,2
900000,837.9,2
1000000,838.1,2
1100000,838.9,2
1200000,838.1,2
1300000,838.5,2
1400000,838.8,2
1500000,838.9,2
1600000,838.7,2
1700000,838.4,2
1800000,841.4,2
1900000,839.1,2
2000000,840.1,2
2100000,838.7,2
2200000,840.9,2
2300000,838.9,2
2400000,839.8,2
2500000,841.5,2
2600000,839.3,2
2700000,838.6,2
2800000,838.8,2
2900000,839.8,2
3000000,841.0,2
3100000,839.0,2
3200000,838.8,2
3300000,840.4,2
3400000,839.0,2
3500000,841.9,2
3600000,839.0,2
3700000,839.8,2
3800000,841.6,2
3900000,839.6,2
4000000,839.0,2
0,0.0,3
100000,836.2,3
200000,839.1,3
300000,837.0,3
400000,837.3,3
500000,837.2,3
600000,838.1,3
700000,839.5,3
800000,839.1,3
900000,837.9,3
1000000,838.7,3
1100000,838.6,3
1200000,838.9,3
1300000,838.4,3
1400000,838.7,3
1500000,839.7,3
1600000,838.9,3
1700000,838.5,3
1800000,838.4,3
1900000,838.8,3
2000000,838.6,3
2100000,839.7,3
2200000,839.1,3
2300000,841.5,3
2400000,838.6,3
2500000,838.7,3
2600000,839.2,3
2700000,839.3,3
2800000,838.8,3
2900000,842.2,3
3000000,838.3,3
3100000,840.6,3
3200000,838.4,3
3300000,841.0,3
3400000,838.4,3
3500000,842.0,3
3600000,838.8,3
3700000,838.1,3
3800000,838.7,3
3900000,838.4,3
4000000,838.6,3
