step,reward,seed
0,0.0,1
100000,25.9,1
200000,17.6,1
300000,52.4,1
400000,40.1,1
500000,76.2,1
600000,107.0,1
700000,130.9,1
800000,178.2,1
900000,186.3,1
1000000,246.0,1
1100000,249.6,1
1200000,323.3,1
1300000,347.2,1
1400000,379.7,1
1500000,421.5,1
1600000,429.0,1
1700000,449.1,1
1800000,464.5,1
1900000,476.5,1
2000000,494.8,1
2100000,519.1,1
2200000,526.6,1
2300000,529.8,1
2400000,538.3,1
2500000,566.2,1
2600000,558.8,1
2700000,558.9,1
2800000,552.0,1
2900000,563.2,1
3000000,560.1,1
3100000,585.9,1
3200000,587.5,1
3300000,588.7,1
3400000,581.8,1
3500000,591.0,1
3600000,605.1,1
3700000,600.8,1
3800000,589.5,1
3900000,578.1,1
4000000,592.7,1
0,0.0,2
100000,16.1,2
200000,21.1,2
300000,47.6,2
400000,50.8,2
500000,75.0,2
600000,104.1,2
700000,109.4,2
800000,136.3,2
900000,144.6,2
1000000,173.9,2
1100000,189.1,2
1200000,202.2,2
1300000,240.9,2
1400000,263.5,2
1500000,268.5,2
1600000,326.7,2
1700000,358.9,2
1800000,342.5,2
1900000,396.8,2
2000000,405.9,2
2100000,412.8,2
2200000,427.2,2
2300000,438.7,2
2400000,455.9,2
2500000,479.6,2
2600000,463.9,2
2700000,466.9,2
2800000,489.7,2
2900000,487.4,2
3000000,483.1,2
3100000,486.0,2
3200000,505.6,2
3300000,516.6,2
3400000,498.1,2
3500000,510.0,2
3600000,524.5,2
3700000,534.3,2
3800000,547.9,2
3900000,552.5,2
4000000,542.1,2
0,0.0,3
100000,14.6,3
200000,24.7,3
300000,44.8,3
400000,52.2,3
500000,61.9,3
600000,100.1,3
700000,132.5,3
800000,146.3,3
900000,143.6,3
1000000,188.5,3
1100000,192.2,3
1200000,220.4,3
1300000,226.4,3
1400000,270.6,3
1500000,247.6,3
1600000,279.3,3
1700000,274.6,3
1800000,298.0,3
1900000,324.4,3
2000000,396.2,3
2100000,402.8,3
2200000,404.5,3
2300000,486.3,3
2400000,456.2,3
2500000,506.1,3
2600000,551.8,3
2700000,544.2,3
2800000,555.3,3
2900000,579.7,3
3000000,584.6,3
3100000,587.8,3
3200000,596.9,3
3300000,587.1,3
3400000,611.2,3
3500000,617.8,3
3600000,610.2,3
3700000,613.2,3
3800000,628.0,3
3900000,639.6,3
4000000,657.5,3
