step,reward,seed
0,0.0,1
100000,187.2,1
200000,442.8,1
300000,735.5,1
400000,865.8,1
500000,926.1,1
600000,948.0,1
700000,984.8,1
800000,977.5,1
900000,985.1,1
1000000,988.0,1
1100000,988.0,1
1200000,988.4,1
1300000,990.8,1
1400000,991.8,1
1500000,985.3,1
1600000,989.7,1
1700000,990.9,1
1800000,987.4,1
1900000,989.7,1
2000000,988.4,1
2100000,990.6,1
2200000,992.8,1
2300000,993.7,1
2400000,992.4,1
2500000,990.4,1
2600000,990.8,1
2700000,990.7,1
2800000,989.9,1
2900000,989.1,1
3000000,990.5,1
3100000,986.3,1
3200000,988.5,1
3300000,989.3,1
3400000,992.8,1
3500000,990.9,1
3600000,991.9,1
3700000,989.9,1
3800000,991.2,1
3900000,992.1,1
4000000,991.8,1
0,0.0,2
100000,178.9,2
200000,358.4,2
300000,827.9,2
400000,864.0,2
500000,869.9,2
600000,904.8,2
700000,965.3,2
800000,953.0,2
900000,948.9,2
1000000,976.0,2
1100000,983.4,2
1200000,988.1,2
1300000,972.1,2
1400000,972.2,2
1500000,985.9,2
1600000,985.2,2
1700000,980.7,2
1800000,986.4,2
1900000,951.0,2
2000000,975.3,2
2100000,979.2,2
2200000,963.5,2
2300000,980.2,2
2400000,982.7,2
2500000,968.4,2
2600000,975.8,2
2700000,970.0,2
2800000,963.4,2
2900000,936.9,2
3000000,973.8,2
3100000,973.4,2
3200000,983.2,2
3300000,983.5,2
3400000,966.8,2
3500000,979.4,2
3600000,969.4,2
3700000,955.6,2
3800000,944.0,2
3900000,979.8,2
4000000,978.9,2
0,0.0,3
100000,216.7,3
200000,591.4,3
300000,892.8,3
400000,899.1,3
500000,910.7,3
600000,958.2,3
700000,914.0,3
800000,969.5,3
900000,878.0,3
1000000,879.4,3
1100000,944.1,3
1200000,975.0,3
1300000,979.9,3
1400000,968.3,3
1500000,986.1,3
1600000,973.3,3
1700000,975.9,3
1800000,966.7,3
1900000,982.4,3
2000000,961.6,3
2100000,962.2,3
2200000,925.7,3
2300000,935.5,3
2400000,931.4,3
2500000,935.5,3
2600000,942.3,3
2700000,937.6,3
2800000,944.1,3
2900000,954.1,3
3000000,952.4,3
3100000,956.7,3
3200000,957.8,3
3300000,950.2,3
3400000,947.0,3
3500000,942.2,3
3600000,937.6,3
3700000,942.3,3
3800000,927.5,3
3900000,936.4,3
4000000,954.6,3
