step,reward,seed
0,0.0,1
100000,19.4,1
200000,18.8,1
300000,44.6,1
400000,68.9,1
500000,72.4,1
600000,109.8,1
700000,154.5,1
800000,181.2,1
900000,296.9,1
1000000,324.0,1
1100000,337.7,1
1200000,462.1,1
1300000,421.4,1
1400000,497.8,1
1500000,528.1,1
1600000,572.3,1
1700000,553.6,1
1800000,635.0,1
1900000,665.4,1
2000000,752.9,1
2100000,835.8,1
2200000,845.6,1
2300000,838.3,1
2400000,852.6,1
2500000,876.1,1
2600000,880.0,1
2700000,877.9,1
2800000,872.9,1
2900000,895.0,1
3000000,884.5,1
3100000,895.8,1
3200000,898.7,1
3300000,903.4,1
3400000,901.1,1
3500000,894.6,1
3600000,906.8,1
3700000,910.5,1
3800000,902.6,1
3900000,907.6,1
4000000,907.9,1
0,0.0,2
100000,21.0,2
200000,35.4,2
300000,57.8,2
400000,85.3,2
500000,64.3,2
600000,92.9,2
700000,166.9,2
800000,232.2,2
900000,136.5,2
1000000,227.9,2
1100000,330.7,2
1200000,457.3,2
1300000,555.0,2
1400000,631.5,2
1500000,717.9,2
1600000,765.2,2
1700000,775.1,2
1800000,794.9,2
1900000,815.0,2
2000000,831.1,2
2100000,827.6,2
2200000,853.5,2
2300000,860.3,2
2400000,858.2,2
2500000,842.9,2
2600000,861.8,2
2700000,848.4,2
2800000,856.7,2
2900000,859.7,2
3000000,867.4,2
3100000,851.8,2
3200000,863.3,2
3300000,863.6,2
3400000,868.8,2
3500000,871.1,2
3600000,866.6,2
3700000,865.2,2
3800000,877.4,2
3900000,869.1,2
4000000,879.1,2
0,0.0,3
100000,24.9,3
200000,22.3,3
300000,29.2,3
400000,38.4,3
500000,43.6,3
600000,90.8,3
700000,84.6,3
800000,116.3,3
900000,243.7,3
1000000,297.2,3
1100000,312.5,3
1200000,324.9,3
1300000,391.1,3
1400000,517.3,3
1500000,548.0,3
1600000,572.3,3
1700000,637.5,3
1800000,770.6,3
1900000,775.6,3
2000000,852.5,3
2100000,845.4,3
2200000,843.8,3
2300000,869.3,3
2400000,872.2,3
2500000,874.5,3
2600000,893.6,3
2700000,887.0,3
2800000,889.2,3
2900000,878.1,3
3000000,905.9,3
3100000,912.6,3
3200000,905.4,3
3300000,899.5,3
3400000,905.3,3
3500000,912.2,3
3600000,913.8,3
3700000,890.7,3
3800000,889.8,3
3900000,894.3,3
4000000,905.2,3
