step,reward,seed
0,0.0,1
100000,28.7,1
200000,50.2,1
300000,174.4,1
400000,325.1,1
500000,500.9,1
600000,542.5,1
700000,724.9,1
800000,823.5,1
900000,809.0,1
1000000,824.1,1
1100000,831.9,1
1200000,835.5,1
1300000,832.2,1
1400000,836.6,1
1500000,831.7,1
1600000,843.1,1
1700000,840.5,1
1800000,847.2,1
1900000,848.1,1
2000000,855.4,1
2100000,869.5,1
2200000,867.8,1
2300000,857.4,1
2400000,856.4,1
2500000,823.4,1
2600000,829.5,1
2700000,824.2,1
2800000,827.0,1
2900000,840.9,1
3000000,846.6,1
3100000,850.7,1
3200000,861.2,1
3300000,857.8,1
3400000,838.1,1
3500000,830.0,1
3600000,838.4,1
3700000,830.0,1
3800000,843.0,1
3900000,828.9,1
4000000,790.0,1
0,0.0,2
100000,33.8,2
200000,27.3,2
300000,51.6,2
400000,78.0,2
500000,241.7,2
600000,361.1,2
700000,444.9,2
800000,581.6,2
900000,617.8,2
1000000,592.9,2
1100000,702.4,2
1200000,817.2,2
1300000,848.1,2
1400000,859.8,2
1500000,859.4,2
1600000,892.5,2
1700000,884.9,2
1800000,889.3,2
1900000,898.8,2
2000000,901.5,2
2100000,895.6,2
2200000,904.7,2
2300000,897.8,2
2400000,902.7,2
2500000,893.6,2
2600000,899.5,2
2700000,899.9,2
2800000,915.0,2
2900000,909.5,2
3000000,914.1,2
3100000,908.1,2
3200000,910.2,2
3300000,903.5,2
3400000,901.2,2
3500000,906.7,2
3600000,910.1,2
3700000,912.6,2
3800000,903.6,2
3900000,910.5,2
4000000,903.9,2
0,0.0,3
100000,38.4,3
200000,59.3,3
300000,45.8,3
400000,100.0,3
500000,246.2,3
600000,358.3,3
700000,474.3,3
800000,526.0,3
900000,543.1,3
1000000,623.0,3
1100000,582.0,3
1200000,636.2,3
1300000,639.8,3
1400000,661.5,3
1500000,699.6,3
1600000,663.4,3
1700000,726.2,3
1800000,768.9,3
1900000,808.0,3
2000000,832.7,3
2100000,812.5,3
2200000,782.6,3
2300000,812.0,3
2400000,841.0,3
2500000,830.3,3
2600000,848.6,3
2700000,842.6,3
2800000,833.1,3
2900000,838.7,3
3000000,838.6,3
3100000,796.4,3
3200000,827.8,3
3300000,814.4,3
3400000,818.2,3
3500000,817.5,3
3600000,815.9,3
3700000,817.3,3
3800000,803.6,3
3900000,822.1,3
4000000,811.6,3
