step,reward,seed
0,0.0,1
100000,982.0,1
200000,977.0,1
300000,979.0,1
400000,985.0,1
500000,981.0,1
600000,981.0,1
700000,979.0,1
800000,979.0,1
900000,980.0,1
1000000,979.0,1
1100000,980.0,1
1200000,974.0,1
1300000,973.0,1
1400000,976.0,1
1500000,981.0,1
1600000,969.0,1
1700000,974.0,1
1800000,980.0,1
1900000,966.0,1
2000000,987.0,1
2100000,969.0,1
2200000,978.0,1
2300000,976.0,1
2400000,973.0,1
2500000,976.0,1
2600000,971.0,1
2700000,975.0,1
2800000,964.0,1
2900000,963.0,1
3000000,960.0,1
3100000,965.0,1
3200000,962.0,1
3300000,959.0,1
3400000,957.0,1
3500000,953.0,1
3600000,963.0,1
3700000,968.0,1
3800000,985.0,1
3900000,973.0,1
4000000,969.0,1
0,0.0,2
100000,953.0,2
200000,974.0,2
300000,961.0,2
400000,967.0,2
500000,974.0,2
600000,971.0,2
700000,977.0,2
800000,980.0,2
900000,962.0,2
1000000,973.0,2
1100000,977.0,2
1200000,976.0,2
1300000,975.0,2
1400000,977.0,2
1500000,982.0,2
1600000,981.0,2
1700000,974.0,2
1800000,967.0,2
1900000,966.0,2
2000000,972.0,2
2100000,961.0,2
2200000,971.0,2
2300000,969.0,2
2400000,974.0,2
2500000,979.0,2
2600000,973.0,2
2700000,964.0,2
2800000,985.0,2
2900000,972.0,2
3000000,975.0,2
3100000,967.0,2
3200000,976.0,2
3300000,983.0,2
3400000,972.0,2
3500000,969.0,2
3600000,980.0,2
3700000,982.0,2
3800000,967.0,2
3900000,967.0,2
4000000,978.0,2
0,0.0,3
100000,973.0,3
200000,978.0,3
300000,987.0,3
400000,980.0,3
500000,981.0,3
600000,982.0,3
700000,984.0,3
800000,990.0,3
900000,979.0,3
1000000,994.0,3
1100000,985.0,3
1200000,983.0,3
1300000,984.0,3
1400000,989.0,3
1500000,984.0,3
1600000,976.0,3
1700000,992.0,3
1800000,988.0,3
1900000,986.0,3
2000000,989.0,3
2100000,985.0,3
2200000,994.0,3
2300000,989.0,3
2400000,988.0,3
2500000,987.0,3
2600000,987.0,3
2700000,986.0,3
2800000,979.0,3
2900000,983.0,3
3000000,987.0,3
3100000,972.0,3
3200000,995.0,3
3300000,989.0,3
3400000,980.0,3
3500000,978.0,3
3600000,978.0,3
3700000,976.0,3
3800000,984.0,3
3900000,980.0,3
4000000,972.0,3
