step,reward,seed
0,0.0,1
100000,988.0,1
200000,977.0,1
300000,1000.0,1
400000,1000.0,1
500000,1000.0,1
600000,1000.0,1
700000,1000.0,1
800000,995.0,1
900000,1000.0,1
1000000,1000.0,1
1100000,998.0,1
1200000,1000.0,1
1300000,1000.0,1
1400000,993.0,1
1500000,1000.0,1
1600000,996.0,1
1700000,1000.0,1
1800000,996.0,1
1900000,993.0,1
2000000,1000.0,1
2100000,1000.0,1
2200000,992.0,1
2300000,1000.0,1
2400000,990.0,1
2500000,995.0,1
2600000,1000.0,1
2700000,994.0,1
2800000,991.0,1
2900000,1000.0,1
3000000,992.0,1
3100000,997.0,1
3200000,1000.0,1
3300000,1000.0,1
3400000,991.0,1
3500000,995.0,1
3600000,1000.0,1
3700000,992.0,1
3800000,1000.0,1
3900000,1000.0,1
4000000,997.0,1
0,0.0,2
100000,1000.0,2
200000,1000.0,2
300000,1000.0,2
400000,1000.0,2
500000,1000.0,2
600000,1000.0,2
700000,1000.0,2
800000,1000.0,2
900000,995.0,2
1000000,989.0,2
1100000,1000.0,2
1200000,1000.0,2
1300000,1000.0,2
1400000,991.0,2
1500000,1000.0,2
1600000,995.0,2
1700000,1000.0,2
1800000,992.0,2
1900000,991.0,2
2000000,986.0,2
2100000,993.0,2
2200000,1000.0,2
2300000,1000.0,2
2400000,991.0,2
2500000,995.0,2
2600000,994.0,2
2700000,1000.0,2
2800000,993.0,2
2900000,1000.0,2
3000000,1000.0,2
3100000,1000.0,2
3200000,1000.0,2
3300000,1000.0,2
3400000,1000.0,2
3500000,1000.0,2
3600000,995.0,2
3700000,994.0,2
3800000,990.0,2
3900000,1000.0,2
4000000,1000.0,2
0,0.0,3
100000,978.0,3
200000,992.0,3
300000,990.0,3
400000,998.0,3
500000,991.0,3
600000,1000.0,3
700000,991.0,3
800000,1000.0,3
900000,1000.0,3
1000000,988.0,3
1100000,987.0,3
1200000,1000.0,3
1300000,1000.0,3
1400000,991.0,3
1500000,1000.0,3
1600000,1000.0,3
1700000,988.0,3
1800000,994.0,3
1900000,992.0,3
2000000,1000.0,3
2100000,1000.0,3
2200000,1000.0,3
2300000,1000.0,3
2400000,1000.0,3
2500000,995.0,3
2600000,989.0,3
2700000,1000.0,3
2800000,992.0,3
2900000,995.0,3
3000000,1000.0,3
3100000,996.0,3
3200000,995.0,3
3300000,1000.0,3
3400000,993.0,3
3500000,996.0,3
3600000,1000.0,3
3700000,989.0,3
3800000,993.0,3
3900000,1000.0,3
4000000,1000.0,3
