step,reward,seed
0,0.0,1
100000,534.6,1
200000,817.2,1
300000,861.0,1
400000,874.1,1
500000,911.1,1
600000,916.7,1
700000,939.4,1
800000,926.2,1
900000,868.5,1
1000000,868.5,1
1100000,862.5,1
1200000,886.3,1
1300000,902.3,1
1400000,903.8,1
1500000,973.3,1
1600000,887.7,1
1700000,913.2,1
1800000,963.6,1
1900000,913.5,1
2000000,893.8,1
2100000,882.8,1
2200000,942.6,1
2300000,898.0,1
2400000,881.9,1
2500000,944.6,1
2600000,913.5,1
2700000,961.3,1
2800000,881.6,1
2900000,949.4,1
3000000,952.0,1
3100000,916.3,1
3200000,954.3,1
3300000,935.5,1
3400000,919.9,1
3500000,975.5,1
3600000,925.9,1
3700000,896.6,1
3800000,922.0,1
3900000,928.1,1
4000000,963.0,1
0,0.0,2
100000,678.7,2
200000,866.8,2
300000,882.5,2
400000,874.6,2
500000,838.4,2
600000,872.1,2
700000,881.0,2
800000,889.1,2
900000,958.9,2
1000000,851.0,2
1100000,874.4,2
1200000,964.3,2
1300000,939.2,2
1400000,896.5,2
1500000,890.4,2
1600000,947.1,2
1700000,912.0,2
1800000,908.8,2
1900000,903.3,2
2000000,895.3,2
2100000,914.9,2
2200000,929.3,2
2300000,946.9,2
2400000,860.2,2
2500000,937.0,2
2600000,891.9,2
2700000,884.1,2
2800000,921.6,2
2900000,965.0,2
3000000,919.3,2
3100000,937.7,2
3200000,974.1,2
3300000,952.0,2
3400000,923.2,2
3500000,962.3,2
3600000,909.8,2
3700000,942.1,2
3800000,909.2,2
3900000,899.8,2
4000000,945.4,2
0,0.0,3
100000,782.2,3
200000,925.3,3
300000,927.9,3
400000,919.9,3
500000,844.3,3
600000,919.1,3
700000,958.8,3
800000,867.2,3
900000,901.0,3
1000000,932.1,3
1100000,877.1,3
1200000,938.1,3
1300000,825.7,3
1400000,907.7,3
1500000,951.6,3
1600000,886.1,3
1700000,875.5,3
1800000,854.4,3
1900000,896.9,3
2000000,922.9,3
2100000,926.4,3
2200000,886.9,3
2300000,887.1,3
2400000,886.9,3
2500000,907.2,3
2600000,893.5,3
2700000,933.2,3
2800000,904.8,3
2900000,858.9,3
3000000,965.8,3
3100000,947.0,3
3200000,921.5,3
3300000,874.5,3
3400000,944.5,3
3500000,867.6,3
3600000,937.1,3
3700000,935.5,3
3800000,933.9,3
3900000,869.3,3
4000000,920.2,3
