step,reward,seed
0,0.0,1
100000,31.1,1
200000,601.0,1
300000,741.0,1
400000,843.3,1
500000,846.8,1
600000,875.1,1
700000,900.2,1
800000,878.9,1
900000,890.6,1
1000000,880.0,1
1100000,878.7,1
1200000,891.9,1
1300000,900.4,1
1400000,887.9,1
1500000,906.3,1
1600000,915.6,1
1700000,946.2,1
1800000,890.0,1
1900000,871.5,1
2000000,823.3,1
2100000,881.4,1
2200000,904.1,1
2300000,906.4,1
2400000,898.9,1
2500000,928.9,1
2600000,920.4,1
2700000,890.3,1
2800000,896.2,1
2900000,858.3,1
3000000,890.0,1
3100000,905.1,1
3200000,889.6,1
3300000,883.5,1
3400000,896.3,1
3500000,917.7,1
3600000,876.5,1
3700000,886.4,1
3800000,932.7,1
3900000,906.0,1
4000000,910.3,1
0,0.0,2
100000,3.0,2
200000,31.2,2
300000,35.7,2
400000,42.2,2
500000,35.1,2
600000,55.9,2
700000,680.4,2
800000,855.4,2
900000,826.5,2
1000000,819.3,2
1100000,921.9,2
1200000,930.0,2
1300000,888.3,2
1400000,909.4,2
1500000,923.1,2
1600000,929.6,2
1700000,937.2,2
1800000,957.8,2
1900000,948.7,2
2000000,925.4,2
2100000,897.2,2
2200000,907.4,2
2300000,953.9,2
2400000,922.6,2
2500000,918.2,2
2600000,909.6,2
2700000,917.6,2
2800000,914.0,2
2900000,915.0,2
3000000,902.9,2
3100000,921.5,2
3200000,927.3,2
3300000,920.3,2
3400000,933.8,2
3500000,918.7,2
3600000,926.9,2
3700000,908.5,2
3800000,917.3,2
3900000,916.6,2
4000000,882.3,2
0,0.0,3
100000,391.3,3
200000,775.5,3
300000,864.6,3
400000,790.1,3
500000,825.8,3
600000,846.8,3
700000,861.9,3
800000,802.9,3
900000,872.3,3
1000000,871.2,3
1100000,890.9,3
1200000,816.9,3
1300000,889.1,3
1400000,842.1,3
1500000,793.2,3
1600000,826.3,3
1700000,851.9,3
1800000,891.9,3
1900000,868.8,3
2000000,872.4,3
2100000,875.9,3
2200000,882.5,3
2300000,884.9,3
2400000,895.4,3
2500000,887.8,3
2600000,896.7,3
2700000,904.5,3
2800000,890.4,3
2900000,914.4,3
3000000,892.1,3
3100000,892.1,3
3200000,875.1,3
3300000,886.0,3
3400000,915.6,3
3500000,892.0,3
3600000,900.6,3
3700000,883.1,3
3800000,885.9,3
3900000,886.4,3
4000000,898.9,3
