step,reward,seed
0,0.0,1
100000,0.0,1
200000,5.8,1
300000,260.9,1
400000,317.7,1
500000,334.0,1
600000,338.0,1
700000,345.2,1
800000,343.7,1
900000,332.1,1
1000000,344.0,1
1100000,341.0,1
1200000,327.8,1
1300000,336.4,1
1400000,339.7,1
1500000,339.4,1
1600000,340.0,1
1700000,337.1,1
1800000,343.5,1
1900000,335.6,1
2000000,339.5,1
2100000,338.9,1
2200000,350.8,1
2300000,347.1,1
2400000,351.9,1
2500000,349.2,1
2600000,351.5,1
2700000,354.3,1
2800000,349.7,1
2900000,345.3,1
3000000,359.2,1
3100000,352.6,1
3200000,350.1,1
3300000,358.0,1
3400000,352.7,1
3500000,353.7,1
3600000,352.8,1
3700000,352.4,1
3800000,357.1,1
3900000,359.8,1
4000000,354.2,1
0,0.0,2
100000,4.1,2
200000,72.4,2
300000,200.5,2
400000,273.0,2
500000,329.8,2
600000,381.2,2
700000,352.4,2
800000,370.1,2
900000,371.8,2
1000000,378.0,2
1100000,375.7,2
1200000,370.1,2
1300000,371.0,2
1400000,361.0,2
1500000,366.0,2
1600000,369.2,2
1700000,372.8,2
1800000,357.1,2
1900000,352.8,2
2000000,362.5,2
2100000,369.9,2
2200000,369.7,2
2300000,376.4,2
2400000,369.9,2
2500000,374.2,2
2600000,363.4,2
2700000,364.4,2
2800000,362.8,2
2900000,357.0,2
3000000,359.8,2
3100000,370.1,2
3200000,375.9,2
3300000,371.6,2
3400000,374.6,2
3500000,365.3,2
3600000,370.6,2
3700000,373.6,2
3800000,375.0,2
3900000,371.7,2
4000000,382.4,2
0,0.0,3
100000,0.3,3
200000,0.3,3
300000,73.3,3
400000,0.0,3
500000,371.7,3
600000,540.5,3
700000,537.9,3
800000,528.7,3
900000,569.6,3
1000000,578.4,3
1100000,572.2,3
1200000,528.1,3
1300000,596.2,3
1400000,611.2,3
1500000,605.0,3
1600000,606.4,3
1700000,614.0,3
1800000,612.5,3
1900000,617.6,3
2000000,628.8,3
2100000,625.7,3
2200000,623.6,3
2300000,614.0,3
2400000,601.3,3
2500000,616.0,3
2600000,617.4,3
2700000,618.9,3
2800000,624.6,3
2900000,622.7,3
3000000,623.2,3
3100000,615.5,3
3200000,620.1,3
3300000,618.0,3
3400000,618.2,3
3500000,623.5,3
3600000,627.2,3
3700000,623.3,3
3800000,622.9,3
3900000,610.7,3
4000000,621.5,3
