step,reward,seed
0,0.0,1
100000,556.4,1
200000,886.3,1
300000,911.2,1
400000,911.2,1
500000,911.2,1
600000,876.7,1
700000,876.7,1
800000,876.7,1
900000,868.3,1
1000000,869.0,1
1100000,891.2,1
1200000,901.3,1
1300000,925.5,1
1400000,925.5,1
1500000,962.6,1
1600000,962.6,1
1700000,949.6,1
1800000,952.6,1
1900000,963.3,1
2000000,963.3,1
2100000,963.3,1
2200000,960.0,1
2300000,980.7,1
2400000,980.7,1
2500000,980.0,1
2600000,982.6,1
2700000,982.6,1
2800000,986.1,1
2900000,986.1,1
3000000,989.2,1
3100000,989.2,1
3200000,982.7,1
3300000,989.5,1
3400000,989.5,1
3500000,989.5,1
3600000,985.0,1
3700000,970.6,1
3800000,970.9,1
3900000,974.0,1
4000000,974.0,1
0,0.0,2
100000,957.7,2
200000,957.7,2
300000,992.0,2
400000,992.0,2
500000,992.0,2
600000,988.4,2
700000,931.6,2
800000,938.0,2
900000,948.4,2
1000000,959.8,2
1100000,980.5,2
1200000,980.5,2
1300000,980.5,2
1400000,973.5,2
1500000,993.4,2
1600000,993.4,2
1700000,994.9,2
1800000,995.5,2
1900000,995.5,2
2000000,996.3,2
2100000,996.3,2
2200000,996.3,2
2300000,995.9,2
2400000,996.9,2
2500000,996.9,2
2600000,996.3,2
2700000,996.3,2
2800000,997.1,2
2900000,997.1,2
3000000,997.4,2
3100000,997.4,2
3200000,997.4,2
3300000,997.5,2
3400000,997.5,2
3500000,997.5,2
3600000,997.2,2
3700000,996.1,2
3800000,994.3,2
3900000,994.3,2
4000000,994.3,2
0,0.0,3
100000,77.3,3
200000,77.3,3
300000,482.6,3
400000,515.5,3
500000,569.9,3
600000,569.9,3
700000,598.5,3
800000,683.2,3
900000,944.5,3
1000000,944.5,3
1100000,984.8,3
1200000,987.6,3
1300000,987.6,3
1400000,991.5,3
1500000,991.5,3
1600000,991.5,3
1700000,984.5,3
1800000,984.5,3
1900000,981.3,3
2000000,981.0,3
2100000,983.0,3
2200000,983.0,3
2300000,984.7,3
2400000,992.4,3
2500000,992.4,3
2600000,988.7,3
2700000,988.1,3
2800000,988.1,3
2900000,992.1,3
3000000,992.1,3
3100000,992.1,3
3200000,984.0,3
3300000,985.2,3
3400000,989.6,3
3500000,989.6,3
3600000,989.6,3
3700000,988.6,3
3800000,989.4,3
3900000,989.4,3
4000000,989.4,3
