step,reward,seed
0,0.0,1
100000,2.5,1
200000,18.9,1
300000,82.2,1
400000,143.6,1
500000,183.2,1
600000,209.0,1
700000,269.4,1
800000,315.3,1
900000,324.7,1
1000000,398.3,1
1100000,408.1,1
1200000,416.8,1
1300000,478.6,1
1400000,463.7,1
1500000,473.8,1
1600000,466.8,1
1700000,470.2,1
1800000,501.2,1
1900000,498.6,1
2000000,511.7,1
2100000,533.6,1
2200000,536.0,1
2300000,548.9,1
2400000,539.2,1
2500000,536.1,1
2600000,537.4,1
2700000,574.0,1
2800000,565.3,1
2900000,556.7,1
3000000,561.8,1
3100000,562.6,1
3200000,569.8,1
3300000,561.5,1
3400000,566.3,1
3500000,578.4,1
3600000,567.8,1
3700000,575.9,1
3800000,566.7,1
3900000,558.5,1
4000000,559.0,1
0,0.0,2
100000,1.9,2
200000,1.8,2
300000,20.0,2
400000,42.1,2
500000,113.2,2
600000,156.7,2
700000,215.6,2
800000,282.0,2
900000,299.4,2
1000000,379.0,2
1100000,404.8,2
1200000,440.0,2
1300000,465.6,2
1400000,456.7,2
1500000,464.2,2
1600000,502.2,2
1700000,511.2,2
1800000,527.6,2
1900000,517.1,2
2000000,504.4,2
2100000,513.3,2
2200000,485.2,2
2300000,470.4,2
2400000,481.0,2
2500000,504.2,2
2600000,489.8,2
2700000,492.8,2
2800000,498.3,2
2900000,487.3,2
3000000,488.1,2
3100000,481.4,2
3200000,498.3,2
3300000,480.9,2
3400000,487.1,2
3500000,481.6,2
3600000,478.5,2
3700000,500.0,2
3800000,488.4,2
3900000,480.2,2
4000000,484.4,2
0,0.0,3
100000,2.0,3
200000,1.9,3
300000,126.8,3
400000,161.9,3
500000,214.5,3
600000,209.9,3
700000,355.3,3
800000,343.2,3
900000,372.8,3
1000000,425.0,3
1100000,403.9,3
1200000,468.5,3
1300000,489.6,3
1400000,528.5,3
1500000,486.9,3
1600000,522.5,3
1700000,487.5,3
1800000,503.0,3
1900000,480.6,3
2000000,506.7,3
2100000,514.3,3
2200000,558.0,3
2300000,533.1,3
2400000,560.6,3
2500000,545.0,3
2600000,566.4,3
2700000,555.3,3
2800000,543.3,3
2900000,532.5,3
3000000,534.1,3
3100000,548.5,3
3200000,559.0,3
3300000,549.2,3
3400000,565.5,3
3500000,563.4,3
3600000,549.8,3
3700000,551.5,3
3800000,555.8,3
3900000,555.9,3
4000000,581.6,3
