step,reward,seed
0,0.0,1
100000,13.3,1
200000,32.7,1
300000,486.6,1
400000,587.2,1
500000,694.4,1
600000,652.7,1
700000,764.7,1
800000,834.4,1
900000,810.8,1
1000000,865.9,1
1100000,908.2,1
1200000,895.9,1
1300000,963.9,1
1400000,953.7,1
1500000,966.3,1
1600000,956.2,1
1700000,965.8,1
1800000,922.5,1
1900000,961.2,1
2000000,912.4,1
2100000,971.8,1
2200000,940.0,1
2300000,961.9,1
2400000,977.6,1
2500000,978.4,1
2600000,955.9,1
2700000,973.6,1
2800000,942.4,1
2900000,939.3,1
3000000,972.9,1
3100000,969.4,1
3200000,965.4,1
3300000,972.2,1
3400000,925.6,1
3500000,963.1,1
3600000,918.3,1
3700000,946.0,1
3800000,971.0,1
3900000,968.6,1
4000000,963.2,1
0,0.0,2
100000,11.8,2
200000,314.2,2
300000,547.3,2
400000,707.1,2
500000,801.5,2
600000,848.2,2
700000,908.0,2
800000,946.0,2
900000,946.4,2
1000000,954.6,2
1100000,938.6,2
1200000,940.4,2
1300000,915.5,2
1400000,973.8,2
1500000,954.8,2
1600000,970.3,2
1700000,980.9,2
1800000,963.2,2
1900000,965.1,2
2000000,966.8,2
2100000,982.4,2
2200000,966.0,2
2300000,979.4,2
2400000,981.8,2
2500000,976.9,2
2600000,970.6,2
2700000,954.0,2
2800000,982.7,2
2900000,964.4,2
3000000,959.4,2
3100000,977.8,2
3200000,979.3,2
3300000,976.4,2
3400000,969.4,2
3500000,916.5,2
3600000,954.6,2
3700000,973.4,2
3800000,945.6,2
3900000,958.6,2
4000000,950.2,2
0,0.0,3
100000,31.1,3
200000,10.3,3
300000,178.9,3
400000,432.0,3
500000,595.9,3
600000,674.5,3
700000,692.1,3
800000,821.7,3
900000,902.3,3
1000000,729.6,3
1100000,800.0,3
1200000,858.0,3
1300000,876.0,3
1400000,906.4,3
1500000,931.1,3
1600000,953.1,3
1700000,949.2,3
1800000,976.4,3
1900000,959.2,3
2000000,968.3,3
2100000,963.9,3
2200000,983.2,3
2300000,977.3,3
2400000,978.4,3
2500000,983.2,3
2600000,930.7,3
2700000,953.5,3
2800000,984.8,3
2900000,964.2,3
3000000,970.7,3
3100000,985.4,3
3200000,979.3,3
3300000,970.0,3
3400000,978.3,3
3500000,980.5,3
3600000,951.3,3
3700000,968.1,3
3800000,967.6,3
3900000,966.8,3
4000000,940.1,3
