step,reward,seed
0,0.0,1
100000,2.9,1
200000,5.2,1
300000,96.7,1
400000,438.5,1
500000,584.3,1
600000,704.1,1
700000,812.6,1
800000,826.9,1
900000,918.4,1
1000000,907.6,1
1100000,951.8,1
1200000,947.5,1
1300000,943.9,1
1400000,954.2,1
1500000,948.6,1
1600000,957.9,1
1700000,960.1,1
1800000,947.3,1
1900000,958.8,1
2000000,954.6,1
2100000,949.7,1
2200000,952.4,1
2300000,946.8,1
2400000,960.2,1
2500000,957.1,1
2600000,955.4,1
2700000,961.9,1
2800000,959.6,1
2900000,949.2,1
3000000,950.8,1
3100000,956.7,1
3200000,952.1,1
3300000,949.6,1
3400000,955.3,1
3500000,959.8,1
3600000,953.7,1
3700000,958.9,1
3800000,950.5,1
3900000,957.2,1
4000000,960.6,1
0,0.0,2
100000,3.4,2
200000,2.5,2
300000,2.0,2
400000,340.2,2
500000,511.2,2
600000,697.8,2
700000,795.3,2
800000,836.2,2
900000,922.5,2
1000000,923.9,2
1100000,949.4,2
1200000,959.8,2
1300000,936.2,2
1400000,956.1,2
1500000,949.7,2
1600000,955.6,2
1700000,959.3,2
1800000,936.1,2
1900000,955.6,2
2000000,952.2,2
2100000,955.8,2
2200000,940.2,2
2300000,938.0,2
2400000,958.3,2
2500000,955.9,2
2600000,961.6,2
2700000,958.4,2
2800000,956.3,2
2900000,951.8,2
3000000,937.0,2
3100000,950.8,2
3200000,951.8,2
3300000,950.8,2
3400000,950.6,2
3500000,947.6,2
3600000,946.2,2
3700000,951.7,2
3800000,948.4,2
3900000,952.8,2
4000000,953.4,2
0,0.0,3
100000,6.5,3
200000,1.8,3
300000,272.8,3
400000,520.0,3
500000,647.8,3
600000,705.5,3
700000,805.8,3
800000,791.6,3
900000,915.5,3
1000000,881.0,3
1100000,952.3,3
1200000,936.1,3
1300000,951.4,3
1400000,946.8,3
1500000,952.8,3
1600000,954.6,3
1700000,957.3,3
1800000,960.3,3
1900000,962.1,3
2000000,957.8,3
2100000,947.4,3
2200000,958.9,3
2300000,961.8,3
2400000,959.0,3
2500000,956.4,3
2600000,951.7,3
2700000,962.8,3
2800000,962.5,3
2900000,945.8,3
3000000,941.9,3
3100000,961.8,3
3200000,951.8,3
3300000,950.5,3
3400000,958.7,3
3500000,963.0,3
3600000,961.0,3
3700000,964.0,3
3800000,949.0,3
3900000,961.6,3
4000000,962.0,3
