step,reward,seed
0,0.0,1
100000,0.0,1
200000,20.0,1
300000,60.0,1
400000,50.0,1
500000,90.0,1
600000,90.0,1
700000,80.0,1
800000,100.0,1
900000,90.0,1
1000000,100.0,1
1100000,80.0,1
1200000,100.0,1
1300000,90.0,1
1400000,90.0,1
1500000,90.0,1
1600000,90.0,1
1700000,90.0,1
1800000,100.0,1
1900000,90.0,1
2000000,100.0,1
0,0.0,2
100000,0.0,2
200000,0.0,2
300000,0.0,2
400000,10.0,2
500000,20.0,2
600000,20.0,2
700000,50.0,2
800000,60.0,2
900000,50.0,2
1000000,80.0,2
1100000,80.0,2
1200000,70.0,2
1300000,80.0,2
1400000,100.0,2
1500000,60.0,2
1600000,80.0,2
1700000,100.0,2
1800000,90.0,2
1900000,100.0,2
2000000,100.0,2
0,0.0,3
100000,0.0,3
200000,0.0,3
300000,0.0,3
400000,10.0,3
500000,30.0,3
600000,0.0,3
700000,20.0,3
800000,60.0,3
900000,50.0,3
1000000,50.0,3
1100000,80.0,3
1200000,70.0,3
1300000,90.0,3
1400000,80.0,3
1500000,80.0,3
1600000,100.0,3
1700000,90.0,3
1800000,100.0,3
1900000,100.0,3
2000000,80.0,3
