step,reward,seed
0,0.0,1
100000,908.5,1
200000,908.0,1
300000,895.6,1
400000,909.4,1
500000,908.2,1
600000,904.5,1
700000,908.7,1
800000,907.2,1
900000,909.2,1
1000000,908.0,1
1100000,909.4,1
1200000,908.0,1
1300000,908.9,1
1400000,904.0,1
1500000,908.8,1
1600000,903.4,1
1700000,908.4,1
1800000,908.6,1
1900000,880.3,1
2000000,908.1,1
2100000,909.4,1
2200000,907.7,1
2300000,908.7,1
2400000,909.0,1
2500000,907.8,1
2600000,906.8,1
2700000,910.7,1
2800000,908.6,1
2900000,885.1,1
3000000,907.2,1
3100000,910.0,1
3200000,906.0,1
3300000,909.5,1
3400000,907.4,1
3500000,903.5,1
3600000,908.6,1
3700000,909.6,1
3800000,909.6,1
3900000,908.8,1
4000000,908.1,1
0,0.0,2
100000,904.9,2
200000,907.0,2
300000,906.0,2
400000,906.2,2
500000,907.7,2
600000,907.6,2
700000,901.1,2
800000,908.4,2
900000,906.7,2
1000000,881.2,2
1100000,908.0,2
1200000,908.4,2
1300000,909.5,2
1400000,898.3,2
1500000,906.3,2
1600000,904.9,2
1700000,905.5,2
1800000,908.2,2
1900000,909.6,2
2000000,900.5,2
2100000,909.4,2
2200000,900.5,2
2300000,909.5,2
2400000,909.2,2
2500000,904.3,2
2600000,878.9,2
2700000,908.7,2
2800000,889.0,2
2900000,907.3,2
3000000,908.2,2
3100000,909.8,2
3200000,908.4,2
3300000,909.5,2
3400000,904.7,2
3500000,908.1,2
3600000,902.0,2
3700000,908.5,2
3800000,907.5,2
3900000,906.4,2
4000000,907.4,2
0,0.0,3
100000,906.8,3
200000,907.9,3
300000,903.6,3
400000,906.1,3
500000,907.4,3
600000,907.3,3
700000,909.4,3
800000,909.6,3
900000,909.1,3
1000000,910.0,3
1100000,910.0,3
1200000,908.3,3
1300000,908.6,3
1400000,908.5,3
1500000,908.9,3
1600000,909.3,3
1700000,906.6,3
1800000,905.2,3
1900000,869.5,3
2000000,906.7,3
2100000,909.5,3
2200000,906.0,3
2300000,909.9,3
2400000,909.8,3
2500000,908.2,3
2600000,910.4,3
2700000,908.7,3
2800000,908.0,3
2900000,908.6,3
3000000,909.1,3
3100000,902.4,3
3200000,905.9,3
3300000,905.5,3
3400000,909.4,3
3500000,909.6,3
3600000,906.4,3
3700000,909.4,3
3800000,906.7,3
3900000,909.3,3
4000000,910.4,3
