step,reward,seed
0,0.0,1
100000,992.0,1
200000,1000.0,1
300000,942.0,1
400000,1000.0,1
500000,982.0,1
600000,932.0,1
700000,1000.0,1
800000,994.0,1
900000,924.0,1
1000000,918.0,1
1100000,920.0,1
1200000,1000.0,1
1300000,1000.0,1
1400000,1000.0,1
1500000,929.0,1
1600000,1000.0,1
1700000,913.0,1
1800000,1000.0,1
1900000,910.0,1
2000000,920.0,1
2100000,998.0,1
2200000,1000.0,1
2300000,995.0,1
2400000,908.0,1
2500000,1000.0,1
2600000,1000.0,1
2700000,912.0,1
2800000,907.0,1
2900000,998.0,1
3000000,930.0,1
3100000,921.0,1
3200000,1000.0,1
3300000,965.0,1
3400000,1000.0,1
3500000,1000.0,1
3600000,969.0,1
3700000,1000.0,1
3800000,1000.0,1
3900000,1000.0,1
4000000,1000.0,1
0,0.0,2
100000,1000.0,2
200000,1000.0,2
300000,986.0,2
400000,998.0,2
500000,984.0,2
600000,993.0,2
700000,1000.0,2
800000,1000.0,2
900000,979.0,2
1000000,985.0,2
1100000,1000.0,2
1200000,996.0,2
1300000,1000.0,2
1400000,975.0,2
1500000,998.0,2
1600000,996.0,2
1700000,1000.0,2
1800000,1000.0,2
1900000,1000.0,2
2000000,985.0,2
2100000,988.0,2
2200000,1000.0,2
2300000,1000.0,2
2400000,1000.0,2
2500000,998.0,2
2600000,1000.0,2
2700000,996.0,2
2800000,994.0,2
2900000,986.0,2
3000000,1000.0,2
3100000,995.0,2
3200000,996.0,2
3300000,1000.0,2
3400000,1000.0,2
3500000,996.0,2
3600000,1000.0,2
3700000,984.0,2
3800000,979.0,2
3900000,1000.0,2
4000000,1000.0,2
0,0.0,3
100000,1000.0,3
200000,1000.0,3
300000,1000.0,3
400000,942.0,3
500000,944.0,3
600000,1000.0,3
700000,987.0,3
800000,980.0,3
900000,1000.0,3
1000000,943.0,3
1100000,1000.0,3
1200000,943.0,3
1300000,966.0,3
1400000,943.0,3
1500000,944.0,3
1600000,1000.0,3
1700000,944.0,3
1800000,944.0,3
1900000,894.0,3
2000000,938.0,3
2100000,943.0,3
2200000,943.0,3
2300000,944.0,3
2400000,1000.0,3
2500000,1000.0,3
2600000,1000.0,3
2700000,1000.0,3
2800000,944.0,3
2900000,942.0,3
3000000,944.0,3
3100000,944.0,3
3200000,1000.0,3
3300000,943.0,3
3400000,942.0,3
3500000,944.0,3
3600000,1000.0,3
3700000,942.0,3
3800000,1000.0,3
3900000,939.0,3
4000000,1000.0,3
