step,reward,seed
0,0.0,1
100000,0.0,1
200000,50.0,1
300000,70.0,1
400000,50.0,1
500000,90.0,1
600000,100.0,1
700000,80.0,1
800000,80.0,1
900000,90.0,1
1000000,80.0,1
1100000,90.0,1
1200000,100.0,1
1300000,90.0,1
1400000,100.0,1
1500000,100.0,1
1600000,90.0,1
1700000,100.0,1
1800000,80.0,1
1900000,70.0,1
2000000,100.0,1
2100000,100.0,1
2200000,90.0,1
2300000,90.0,1
2400000,100.0,1
2500000,80.0,1
2600000,90.0,1
2700000,100.0,1
2800000,100.0,1
2900000,90.0,1
3000000,100.0,1
3100000,100.0,1
3200000,100.0,1
3300000,90.0,1
3400000,100.0,1
3500000,100.0,1
3600000,100.0,1
3700000,100.0,1
3800000,100.0,1
3900000,100.0,1
0,0.0,2
100000,10.0,2
200000,70.0,2
300000,70.0,2
400000,70.0,2
500000,90.0,2
600000,80.0,2
700000,70.0,2
800000,70.0,2
900000,60.0,2
1000000,100.0,2
1100000,90.0,2
1200000,100.0,2
1300000,90.0,2
1400000,100.0,2
1500000,100.0,2
1600000,90.0,2
1700000,90.0,2
1800000,100.0,2
1900000,90.0,2
2000000,100.0,2
2100000,100.0,2
2200000,90.0,2
2300000,100.0,2
2400000,80.0,2
2500000,100.0,2
2600000,90.0,2
2700000,100.0,2
2800000,100.0,2
2900000,100.0,2
3000000,90.0,2
3100000,80.0,2
3200000,100.0,2
3300000,100.0,2
3400000,100.0,2
3500000,100.0,2
3600000,100.0,2
3700000,100.0,2
3800000,100.0,2
3900000,100.0,2
0,0.0,3
100000,10.0,3
200000,70.0,3
300000,40.0,3
400000,90.0,3
500000,70.0,3
600000,100.0,3
700000,80.0,3
800000,90.0,3
900000,100.0,3
1000000,80.0,3
1100000,90.0,3
1200000,90.0,3
1300000,90.0,3
1400000,100.0,3
1500000,100.0,3
1600000,90.0,3
1700000,80.0,3
1800000,90.0,3
1900000,100.0,3
2000000,100.0,3
2100000,90.0,3
2200000,100.0,3
2300000,100.0,3
2400000,100.0,3
2500000,100.0,3
2600000,90.0,3
2700000,90.0,3
2800000,100.0,3
2900000,90.0,3
3000000,90.0,3
3100000,90.0,3
3200000,90.0,3
3300000,100.0,3
3400000,100.0,3
3500000,100.0,3
3600000,80.0,3
3700000,100.0,3
3800000,100.0,3
3900000,100.0,3
