step,reward,seed
0,0.0,1
100000,652.7,1
200000,905.6,1
300000,963.5,1
400000,974.3,1
500000,957.7,1
600000,971.3,1
700000,964.7,1
800000,971.9,1
900000,968.8,1
1000000,972.4,1
1100000,974.2,1
1200000,971.0,1
1300000,975.2,1
1400000,966.0,1
1500000,961.5,1
1600000,967.2,1
1700000,965.4,1
1800000,967.5,1
1900000,971.0,1
2000000,969.0,1
2100000,969.0,1
2200000,969.0,1
2300000,967.8,1
2400000,983.9,1
2500000,983.9,1
2600000,983.9,1
2700000,983.9,1
2800000,983.9,1
2900000,983.9,1
3000000,983.9,1
3100000,983.9,1
3200000,983.9,1
3300000,980.2,1
3400000,980.2,1
3500000,980.2,1
3600000,980.2,1
3700000,980.2,1
3800000,980.2,1
3900000,980.2,1
4000000,980.2,1
0,0.0,2
100000,638.5,2
200000,736.6,2
300000,750.6,2
400000,757.9,2
500000,762.0,2
600000,768.1,2
700000,770.4,2
800000,765.3,2
900000,753.7,2
1000000,772.6,2
1100000,779.2,2
1200000,793.2,2
1300000,796.2,2
1400000,800.3,2
1500000,801.0,2
1600000,803.2,2
1700000,802.8,2
1800000,804.9,2
1900000,803.7,2
2000000,803.5,2
2100000,856.3,2
2200000,869.0,2
2300000,869.0,2
2400000,869.0,2
2500000,869.0,2
2600000,869.0,2
2700000,869.0,2
2800000,869.0,2
2900000,867.2,2
3000000,867.2,2
3100000,872.5,2
3200000,872.5,2
3300000,872.5,2
3400000,872.5,2
3500000,872.5,2
3600000,872.5,2
3700000,872.5,2
3800000,872.5,2
3900000,872.5,2
4000000,872.5,2
0,0.0,3
100000,920.2,3
200000,972.5,3
300000,979.7,3
400000,959.8,3
500000,974.4,3
600000,976.0,3
700000,978.1,3
800000,956.6,3
900000,973.0,3
1000000,951.3,3
1100000,980.5,3
1200000,979.0,3
1300000,975.5,3
1400000,976.7,3
1500000,981.3,3
1600000,982.7,3
1700000,977.9,3
1800000,982.3,3
1900000,980.5,3
2000000,973.8,3
2100000,973.8,3
2200000,973.8,3
2300000,969.0,3
2400000,969.0,3
2500000,969.0,3
2600000,969.0,3
2700000,969.0,3
2800000,969.0,3
2900000,967.2,3
3000000,967.2,3
3100000,972.5,3
3200000,972.5,3
3300000,972.5,3
3400000,972.5,3
3500000,972.5,3
3600000,972.5,3
3700000,972.5,3
3800000,972.5,3
3900000,972.5,3
4000000,972.5,3
