step,reward,seed
0,0.0,1
100000,972.4,1
200000,995.3,1
300000,994.9,1
400000,995.8,1
500000,992.7,1
600000,993.9,1
700000,995.8,1
800000,996.7,1
900000,993.3,1
1000000,997.7,1
1100000,997.8,1
1200000,995.7,1
1300000,993.8,1
1400000,997.2,1
1500000,992.1,1
1600000,990.3,1
1700000,994.7,1
1800000,991.6,1
1900000,995.0,1
2000000,996.1,1
2100000,996.1,1
2200000,996.1,1
2300000,996.1,1
2400000,988.8,1
2500000,983.2,1
2600000,983.2,1
2700000,983.2,1
2800000,983.2,1
2900000,989.2,1
3000000,989.2,1
3100000,989.2,1
3200000,989.2,1
3300000,989.2,1
3400000,989.2,1
3500000,989.2,1
3600000,989.2,1
3700000,989.2,1
3800000,989.2,1
3900000,989.2,1
4000000,989.2,1
0,0.0,2
100000,990.8,2
200000,997.1,2
300000,993.3,2
400000,994.3,2
500000,991.0,2
600000,996.7,2
700000,990.9,2
800000,969.2,2
900000,991.4,2
1000000,994.4,2
1100000,997.2,2
1200000,996.4,2
1300000,987.7,2
1400000,994.8,2
1500000,995.2,2
1600000,998.4,2
1700000,992.3,2
1800000,995.8,2
1900000,994.6,2
2000000,996.6,2
2100000,996.6,2
2200000,996.6,2
2300000,996.6,2
2400000,996.6,2
2500000,992.3,2
2600000,992.3,2
2700000,992.3,2
2800000,992.3,2
2900000,992.3,2
3000000,992.3,2
3100000,992.3,2
3200000,992.3,2
3300000,991.1,2
3400000,991.1,2
3500000,991.3,2
3600000,991.3,2
3700000,991.3,2
3800000,991.3,2
3900000,991.3,2
4000000,991.3,2
0,0.0,3
100000,976.7,3
200000,993.6,3
300000,998.6,3
400000,975.2,3
500000,998.1,3
600000,993.5,3
700000,998.0,3
800000,979.0,3
900000,975.7,3
1000000,975.1,3
1100000,996.2,3
1200000,996.2,3
1300000,996.8,3
1400000,997.4,3
1500000,997.5,3
1600000,996.0,3
1700000,991.4,3
1800000,995.1,3
1900000,994.3,3
2000000,993.5,3
2100000,993.5,3
2200000,996.2,3
2300000,996.2,3
2400000,996.2,3
2500000,996.2,3
2600000,997.0,3
2700000,997.0,3
2800000,997.0,3
2900000,997.0,3
3000000,997.0,3
3100000,997.0,3
3200000,997.0,3
3300000,997.0,3
3400000,997.0,3
3500000,997.0,3
3600000,997.0,3
3700000,997.0,3
3800000,997.0,3
3900000,997.0,3
4000000,997.0,3
