step,reward,seed
0,0.0,1
100000,974.0,1
200000,973.0,1
300000,963.0,1
400000,986.0,1
500000,979.0,1
600000,980.0,1
700000,987.0,1
800000,984.0,1
900000,978.0,1
1000000,995.0,1
1100000,983.0,1
1200000,993.0,1
1300000,986.0,1
1400000,986.0,1
1500000,990.0,1
1600000,991.0,1
1700000,985.0,1
1800000,980.0,1
1900000,980.0,1
2000000,992.0,1
2100000,991.0,1
2200000,990.0,1
2300000,986.0,1
2400000,997.0,1
2500000,994.0,1
2600000,981.0,1
2700000,972.0,1
2800000,982.0,1
2900000,982.0,1
3000000,992.0,1
3100000,985.0,1
3200000,978.0,1
3300000,989.0,1
3400000,981.0,1
3500000,986.0,1
3600000,990.0,1
3700000,979.0,1
3800000,985.0,1
3900000,975.0,1
4000000,994.0,1
0,0.0,2
100000,943.0,2
200000,969.0,2
300000,980.0,2
400000,968.0,2
500000,981.0,2
600000,982.0,2
700000,983.0,2
800000,981.0,2
900000,968.0,2
1000000,983.0,2
1100000,985.0,2
1200000,982.0,2
1300000,993.0,2
1400000,991.0,2
1500000,976.0,2
1600000,987.0,2
1700000,992.0,2
1800000,988.0,2
1900000,985.0,2
2000000,980.0,2
2100000,997.0,2
2200000,993.0,2
2300000,987.0,2
2400000,993.0,2
2500000,993.0,2
2600000,988.0,2
2700000,993.0,2
2800000,980.0,2
2900000,993.0,2
3000000,974.0,2
3100000,981.0,2
3200000,992.0,2
3300000,978.0,2
3400000,987.0,2
3500000,991.0,2
3600000,982.0,2
3700000,989.0,2
3800000,969.0,2
3900000,989.0,2
4000000,978.0,2
0,0.0,3
100000,993.0,3
200000,980.0,3
300000,965.0,3
400000,988.0,3
500000,989.0,3
600000,989.0,3
700000,966.0,3
800000,989.0,3
900000,990.0,3
1000000,984.0,3
1100000,981.0,3
1200000,990.0,3
1300000,991.0,3
1400000,990.0,3
1500000,985.0,3
1600000,986.0,3
1700000,982.0,3
1800000,991.0,3
1900000,992.0,3
2000000,983.0,3
2100000,991.0,3
2200000,986.0,3
2300000,982.0,3
2400000,980.0,3
2500000,985.0,3
2600000,980.0,3
2700000,988.0,3
2800000,993.0,3
2900000,986.0,3
3000000,986.0,3
3100000,990.0,3
3200000,986.0,3
3300000,982.0,3
3400000,979.0,3
3500000,990.0,3
3600000,989.0,3
3700000,993.0,3
3800000,973.0,3
3900000,985.0,3
4000000,989.0,3
