step,reward,seed
0,0.0,1
100000,675.0,1
200000,670.6,1
300000,674.9,1
400000,684.9,1
500000,662.9,1
600000,643.2,1
700000,641.2,1
800000,643.0,1
900000,652.0,1
1000000,659.7,1
1100000,658.8,1
1200000,663.7,1
1300000,676.0,1
1400000,666.7,1
1500000,660.4,1
1600000,669.9,1
1700000,651.8,1
1800000,669.0,1
1900000,674.9,1
2000000,680.3,1
2100000,681.0,1
2200000,672.0,1
2300000,684.7,1
2400000,681.9,1
2500000,677.3,1
2600000,676.6,1
2700000,685.3,1
2800000,675.9,1
2900000,680.2,1
3000000,682.5,1
3100000,681.3,1
3200000,683.9,1
3300000,686.2,1
3400000,685.5,1
3500000,685.6,1
3600000,684.6,1
3700000,681.6,1
3800000,685.6,1
3900000,684.3,1
4000000,683.2,1
0,0.0,2
100000,680.6,2
200000,731.4,2
300000,730.8,2
400000,728.2,2
500000,729.6,2
600000,716.6,2
700000,730.6,2
800000,727.9,2
900000,726.3,2
1000000,741.2,2
1100000,729.4,2
1200000,724.6,2
1300000,722.2,2
1400000,732.7,2
1500000,733.0,2
1600000,732.7,2
1700000,731.3,2
1800000,737.2,2
1900000,742.0,2
2000000,740.4,2
2100000,732.9,2
2200000,740.7,2
2300000,739.8,2
2400000,739.8,2
2500000,739.4,2
2600000,739.1,2
2700000,744.1,2
2800000,743.4,2
2900000,745.2,2
3000000,743.2,2
3100000,740.9,2
3200000,746.7,2
3300000,738.3,2
3400000,738.8,2
3500000,728.0,2
3600000,741.9,2
3700000,737.0,2
3800000,739.9,2
3900000,728.3,2
4000000,740.9,2
0,0.0,3
100000,638.5,3
200000,639.4,3
300000,652.1,3
400000,628.6,3
500000,632.6,3
600000,630.2,3
700000,622.6,3
800000,624.2,3
900000,619.0,3
1000000,623.1,3
1100000,608.1,3
1200000,612.1,3
1300000,620.8,3
1400000,613.3,3
1500000,616.0,3
1600000,620.2,3
1700000,624.5,3
1800000,618.8,3
1900000,623.6,3
2000000,612.6,3
2100000,617.3,3
2200000,645.0,3
2300000,644.7,3
2400000,660.6,3
2500000,660.8,3
2600000,668.0,3
2700000,677.4,3
2800000,687.0,3
2900000,678.6,3
3000000,682.3,3
3100000,688.0,3
3200000,689.5,3
3300000,702.8,3
3400000,699.8,3
3500000,708.1,3
3600000,712.4,3
3700000,712.9,3
3800000,719.1,3
3900000,716.4,3
4000000,721.6,3
