step,reward,seed
0,0.0,1
100000,682.2,1
200000,677.8,1
300000,692.4,1
400000,745.2,1
500000,746.5,1
600000,744.6,1
700000,739.2,1
800000,742.5,1
900000,747.6,1
1000000,743.6,1
1100000,754.1,1
1200000,753.9,1
1300000,750.8,1
1400000,753.2,1
1500000,751.4,1
1600000,749.1,1
1700000,752.9,1
1800000,743.6,1
1900000,743.6,1
2000000,742.6,1
2100000,738.8,1
2200000,738.5,1
2300000,739.5,1
2400000,752.3,1
2500000,769.7,1
2600000,778.3,1
2700000,790.7,1
2800000,779.6,1
2900000,770.9,1
3000000,769.6,1
3100000,769.5,1
3200000,767.5,1
3300000,765.3,1
3400000,771.5,1
3500000,775.3,1
3600000,774.1,1
3700000,766.6,1
3800000,772.4,1
3900000,771.9,1
4000000,773.2,1
0,0.0,2
100000,774.5,2
200000,784.3,2
300000,789.6,2
400000,805.6,2
500000,803.1,2
600000,803.8,2
700000,809.9,2
800000,810.6,2
900000,807.6,2
1000000,809.8,2
1100000,817.6,2
1200000,815.1,2
1300000,819.0,2
1400000,811.8,2
1500000,810.7,2
1600000,816.3,2
1700000,821.3,2
1800000,826.7,2
1900000,828.8,2
2000000,823.4,2
2100000,827.5,2
2200000,827.9,2
2300000,825.6,2
2400000,828.7,2
2500000,831.2,2
2600000,832.7,2
2700000,833.3,2
2800000,832.8,2
2900000,833.4,2
3000000,831.2,2
3100000,830.7,2
3200000,835.3,2
3300000,832.5,2
3400000,838.6,2
3500000,835.2,2
3600000,837.4,2
3700000,831.7,2
3800000,836.7,2
3900000,836.1,2
4000000,835.5,2
0,0.0,3
100000,567.8,3
200000,763.5,3
300000,787.9,3
400000,793.1,3
500000,803.8,3
600000,807.1,3
700000,800.8,3
800000,807.0,3
900000,801.4,3
1000000,796.8,3
1100000,789.6,3
1200000,795.3,3
1300000,799.6,3
1400000,791.6,3
1500000,801.0,3
1600000,803.8,3
1700000,803.1,3
1800000,806.6,3
1900000,800.3,3
2000000,800.0,3
2100000,803.6,3
2200000,806.5,3
2300000,805.4,3
2400000,803.3,3
2500000,800.1,3
2600000,802.3,3
2700000,808.4,3
2800000,810.7,3
2900000,807.9,3
3000000,808.4,3
3100000,804.0,3
3200000,811.0,3
3300000,809.0,3
3400000,806.5,3
3500000,807.7,3
3600000,806.8,3
3700000,808.8,3
3800000,805.4,3
3900000,808.0,3
4000000,806.0,3
