step,reward,seed
0,0.0,1
100000,995.8,1
200000,989.8,1
300000,996.3,1
400000,998.3,1
500000,998.7,1
600000,996.3,1
700000,993.1,1
800000,991.0,1
900000,997.3,1
1000000,998.4,1
1100000,997.7,1
1200000,993.2,1
1300000,999.9,1
1400000,998.6,1
1500000,995.6,1
1600000,994.8,1
1700000,995.4,1
1800000,989.1,1
1900000,995.4,1
2000000,992.6,1
2100000,1000.0,1
2200000,991.8,1
2300000,998.2,1
2400000,992.2,1
2500000,991.7,1
2600000,995.5,1
2700000,982.8,1
2800000,991.5,1
2900000,994.9,1
3000000,990.1,1
3100000,999.0,1
3200000,992.3,1
3300000,997.1,1
3400000,999.3,1
3500000,997.2,1
3600000,993.6,1
3700000,996.7,1
3800000,995.1,1
3900000,993.2,1
4000000,994.7,1
0,0.0,2
100000,977.6,2
200000,997.3,2
300000,993.7,2
400000,998.4,2
500000,994.0,2
600000,997.7,2
700000,994.6,2
800000,995.9,2
900000,996.1,2
1000000,997.9,2
1100000,999.8,2
1200000,998.7,2
1300000,999.5,2
1400000,999.4,2
1500000,997.5,2
1600000,999.1,2
1700000,999.4,2
1800000,999.8,2
1900000,996.6,2
2000000,999.9,2
2100000,999.6,2
2200000,998.0,2
2300000,999.4,2
2400000,999.5,2
2500000,999.7,2
2600000,997.8,2
2700000,999.9,2
2800000,999.9,2
2900000,999.5,2
3000000,999.7,2
3100000,998.9,2
3200000,999.7,2
3300000,999.7,2
3400000,999.7,2
3500000,999.6,2
3600000,999.8,2
3700000,997.9,2
3800000,999.9,2
3900000,998.9,2
4000000,998.6,2
0,0.0,3
100000,990.9,3
200000,995.6,3
300000,994.9,3
400000,992.8,3
500000,993.1,3
600000,990.1,3
700000,999.3,3
800000,997.8,3
900000,997.5,3
1000000,996.4,3
1100000,995.4,3
1200000,994.7,3
1300000,994.8,3
1400000,991.1,3
1500000,999.2,3
1600000,998.4,3
1700000,997.0,3
1800000,999.9,3
1900000,997.3,3
2000000,998.6,3
2100000,993.2,3
2200000,998.8,3
2300000,997.9,3
2400000,998.0,3
2500000,994.2,3
2600000,999.9,3
2700000,999.4,3
2800000,999.8,3
2900000,996.1,3
3000000,998.7,3
3100000,999.0,3
3200000,993.0,3
3300000,999.2,3
3400000,997.6,3
3500000,998.7,3
3600000,999.6,3
3700000,999.8,3
3800000,994.2,3
3900000,999.2,3
4000000,998.9,3
