step,reward,seed
0,0.0,1
100000,987.7,1
200000,971.7,1
300000,990.2,1
400000,985.7,1
500000,988.2,1
600000,990.4,1
700000,991.2,1
800000,987.2,1
900000,992.2,1
1000000,989.7,1
1100000,990.1,1
1200000,991.6,1
1300000,993.2,1
1400000,977.3,1
1500000,978.9,1
1600000,945.6,1
1700000,955.7,1
1800000,949.8,1
1900000,942.0,1
2000000,942.4,1
2100000,950.5,1
2200000,947.4,1
2300000,944.5,1
2400000,944.6,1
2500000,945.0,1
2600000,937.9,1
2700000,932.2,1
2800000,932.5,1
2900000,932.3,1
3000000,938.5,1
3100000,945.6,1
3200000,957.0,1
3300000,945.7,1
3400000,942.2,1
3500000,944.4,1
3600000,940.5,1
3700000,944.3,1
3800000,937.3,1
3900000,932.2,1
4000000,948.4,1
0,0.0,2
100000,991.3,2
200000,989.6,2
300000,990.4,2
400000,994.9,2
500000,992.9,2
600000,991.3,2
700000,994.1,2
800000,993.8,2
900000,990.0,2
1000000,992.1,2
1100000,991.9,2
1200000,985.8,2
1300000,992.6,2
1400000,992.8,2
1500000,978.8,2
1600000,992.9,2
1700000,991.0,2
1800000,990.2,2
1900000,991.5,2
2000000,991.8,2
2100000,988.7,2
2200000,987.1,2
2300000,992.7,2
2400000,993.0,2
2500000,993.0,2
2600000,994.9,2
2700000,993.3,2
2800000,993.1,2
2900000,994.7,2
3000000,993.8,2
3100000,994.6,2
3200000,993.4,2
3300000,994.5,2
3400000,992.8,2
3500000,994.6,2
3600000,991.2,2
3700000,990.3,2
3800000,991.0,2
3900000,991.0,2
4000000,992.3,2
0,0.0,3
100000,939.4,3
200000,970.6,3
300000,973.2,3
400000,964.1,3
500000,974.6,3
600000,977.0,3
700000,981.7,3
800000,981.7,3
900000,978.4,3
1000000,983.3,3
1100000,979.4,3
1200000,980.4,3
1300000,984.1,3
1400000,978.8,3
1500000,984.5,3
1600000,984.1,3
1700000,980.3,3
1800000,985.6,3
1900000,985.2,3
2000000,983.8,3
2100000,987.9,3
2200000,991.1,3
2300000,992.5,3
2400000,991.8,3
2500000,963.0,3
2600000,976.0,3
2700000,974.2,3
2800000,959.0,3
2900000,962.1,3
3000000,968.9,3
3100000,966.5,3
3200000,967.9,3
3300000,974.4,3
3400000,970.7,3
3500000,971.8,3
3600000,983.8,3
3700000,977.6,3
3800000,979.1,3
3900000,968.6,3
4000000,962.5,3
