step,reward,seed
0,0.0,1
100000,991.8,1
200000,991.0,1
300000,994.2,1
400000,991.9,1
500000,991.8,1
600000,993.3,1
700000,990.4,1
800000,990.0,1
900000,993.5,1
1000000,992.5,1
1100000,993.9,1
1200000,992.6,1
1300000,993.9,1
1400000,993.5,1
1500000,993.7,1
1600000,993.4,1
1700000,993.8,1
1800000,994.9,1
1900000,990.9,1
2000000,992.7,1
2100000,990.8,1
2200000,995.1,1
2300000,993.2,1
2400000,993.6,1
2500000,991.8,1
2600000,992.7,1
2700000,994.0,1
2800000,994.1,1
2900000,992.7,1
3000000,991.3,1
3100000,994.9,1
3200000,991.5,1
3300000,995.0,1
3400000,994.3,1
3500000,993.9,1
3600000,995.7,1
3700000,991.3,1
3800000,994.0,1
3900000,992.0,1
4000000,993.5,1
0,0.0,2
100000,990.5,2
200000,994.3,2
300000,992.1,2
400000,994.4,2
500000,991.3,2
600000,988.7,2
700000,993.6,2
800000,994.9,2
900000,991.6,2
1000000,993.3,2
1100000,992.9,2
1200000,994.4,2
1300000,994.1,2
1400000,991.6,2
1500000,989.4,2
1600000,994.6,2
1700000,993.5,2
1800000,993.8,2
1900000,994.9,2
2000000,994.1,2
2100000,993.9,2
2200000,992.2,2
2300000,992.8,2
2400000,993.6,2
2500000,994.0,2
2600000,992.5,2
2700000,993.5,2
2800000,996.5,2
2900000,994.0,2
3000000,994.3,2
3100000,995.8,2
3200000,993.5,2
3300000,992.4,2
3400000,993.5,2
3500000,993.1,2
3600000,993.5,2
3700000,993.3,2
3800000,992.8,2
3900000,992.6,2
4000000,993.3,2
0,0.0,3
100000,976.6,3
200000,994.8,3
300000,989.0,3
400000,990.1,3
500000,991.5,3
600000,991.0,3
700000,991.3,3
800000,994.7,3
900000,995.2,3
1000000,994.8,3
1100000,991.6,3
1200000,994.1,3
1300000,996.1,3
1400000,981.4,3
1500000,989.9,3
1600000,994.0,3
1700000,991.7,3
1800000,993.4,3
1900000,989.9,3
2000000,994.8,3
2100000,995.2,3
2200000,992.0,3
2300000,993.7,3
2400000,994.0,3
2500000,990.4,3
2600000,992.3,3
2700000,993.0,3
2800000,992.9,3
2900000,994.4,3
3000000,993.1,3
3100000,992.0,3
3200000,995.1,3
3300000,994.0,3
3400000,992.7,3
3500000,996.0,3
3600000,994.1,3
3700000,993.7,3
3800000,993.4,3
3900000,994.4,3
4000000,995.4,3
